Project,Github URL,Github Image,Org URL
Autogen,https://github.com/microsoft/autogen,https://opengraph.githubassets.com/c3d86545301895e3afdba021dee8d6e3ed2d09d72da1a7733a5ed3fcb173e8e7/microsoft/autogen,https://microsoft.github.io/autogen/stable/
Pyspur,https://github.com/PySpur-Dev/pyspur,https://repository-images.githubusercontent.com/861892731/c772225b-4648-4218-b944-e08a3f913a52
AgentVerse,https://github.com/OpenBMB/AgentVerse,https://opengraph.githubassets.com/ec51b3e3bc70b67b52734a1c10d16a9168aadf55970beb9e3fc59425cd0b565c/OpenBMB/AgentVerse
Letta / MemGPT,https://github.com/cpacker/MemGPT,https://opengraph.githubassets.com/43028bd60837174cdd7d1d1f111754070414039050e32a197e500630c63930ec/letta-ai/letta
BabyAGI,https://github.com/yoheinakajima/babyagi,https://opengraph.githubassets.com/936163ff34f3df4508be0dbca5e6710c1ad8cfdc669861791bb34957c13fe87a/yoheinakajima/babyagi
Agent Zero,https://github.com/frdel/agent-zero,https://repository-images.githubusercontent.com/812975380/186b70cc-fae4-4cd9-ae08-7dbe09b6b649
Camel AI,https://github.com/camel-ai/camel,https://repository-images.githubusercontent.com/615510678/93880a8f-edb6-4ef2-88d1-abff2651702e
HuggingFace SmolAgents,https://github.com/huggingface/smolagents,https://opengraph.githubassets.com/066584c45749cc2f49a20b8a0bb214780f2ca3639464808613fbaa5207102824/huggingface/smolagents
Potpie,https://github.com/potpie-ai/potpie,https://opengraph.githubassets.com/11f91f49efbd86741813171f24e242d6ac45a93eb951a0052aee5158d8f279dd/potpie-ai/potpie
Langbase,https://github.com/LangbaseInc/BaseAI,https://repository-images.githubusercontent.com/865062553/dc825cdf-1958-422a-916c-b04b4f1fbd18
Dan Miessler's Fabric,https://github.com/danielmiessler/fabric,https://repository-images.githubusercontent.com/738733003/5b35460c-2754-4e72-b14f-d8acb8cb7a5c
Motia,https://github.com/MotiaDev/motia,https://opengraph.githubassets.com/716066a98c5741a32e5e15186f8db7598fbb7cacb108fd487b1c15bdaae1f1d9/MotiaDev/motia
Rivet,https://github.com/rivet-gg/rivet,https://repository-images.githubusercontent.com/654560183/ea86a5d0-7f65-4d27-8986-650a75845de2
CrewAI,https://github.com/crewaiinc/crewai,https://repository-images.githubusercontent.com/710601088/b287b45c-081a-4001-884d-67374219f277
Ag2 (Nov 24 Autogen fork),https://github.com/ag2ai/ag2,https://opengraph.githubassets.com/5c0e795e4567c1f8a21eadf2739b2846e7ce465a986a1af8b53278e0d4db7cd2/ag2ai/ag2
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,https://opengraph.githubassets.com/b0a631a131dc2e5d1e02a38a9738d74db24cf74e5102f565bf4fd248eb4ee786/Significant-Gravitas/AutoGPT
Dify,https://github.com/langgenius/dify,https://repository-images.githubusercontent.com/626805178/6616f28b-ae4c-44e6-8b4c-e3c3396315e9
Pydantic AI,https://github.com/pydantic/pydantic-ai,https://opengraph.githubassets.com/d0d253aaeef5e35e2294e7ae961ab663044d398712ec482203578b9694095d4f/pydantic/pydantic-ai,https://ai.pydantic.dev/
Atomic Agents,https://github.com/BrainBlend-AI/atomic-agents,https://repository-images.githubusercontent.com/809673506/837588e0-b0e0-4502-a4c9-8a92d8225879,https://repository-images.githubusercontent.com/809673506/837588e0-b0e0-4502-a4c9-8a92d8225879
Julep,https://github.com/julep-ai/julep,https://opengraph.githubassets.com/80d8d959a8ee71cdc9fc1d349b2157e5d42c057d7baff2ebff4ccd7c0f656de8/julep-ai/julep
DSPy, https://github.com/stanfordnlp/dspy,https://opengraph.githubassets.com/3425d48ff23dccd9e029853700a44e3b9cb24ee7f91a1c8c4c206406eb7e2fcd/stanfordnlp/dspy,https://dspy.ai
